id,name,product,product_detail,category
1001,2026 夏季新品上市：控油洗髮精強效持香與蓬鬆控油成分公開,個人護理與美妝,控油洗髮精,news_id
1002,115 年健康飲食趨勢：有機燕麥奶與無糖氣泡水引領飲品新浪潮,食品與飲料,有機燕麥奶,news_id
1003,環保潔淨新標準：濃縮洗衣精植萃防蟎抗菌配方認證公告,家庭與清潔用品,濃縮洗衣精,news_id
1004,母嬰護理新震撼：親膚濕紙巾敏弱肌適用測試報告出爐,母嬰與保健,親膚濕紙巾,news_id
1005,寵物健康升級：無穀貓糧主食罐高蛋白升級配方隆重登場,寵物用品與食品,無穀貓糧,news_id
2001,換季肌膚抗乾敏攻略：保濕精華液與抗老修護霜完美搭配使用指南,個人護理與美妝,保濕精華液,article_id
2002,辦公室上班族必看：冷萃黑咖啡搭配低卡零食熱量控制與提神技巧,食品與飲料,冷萃黑咖啡,article_id
2003,居家大掃除省時祕訣：除霉清潔劑與地板除菌清潔劑正確使用步驟,家庭與清潔用品,除霉清潔劑,article_id
2004,消化道日常保健指南：專利益生菌與綜合維他命挑選四大關鍵,母嬰與保健,專利益生菌,article_id
2005,毛孩關節保養全攻略：高肉糧狗糧與寵物關節保健粉日常餵食法,寵物用品與食品,高肉糧狗糧,article_id
3001,夏日油頭救星！控油洗髮精一週實測控油力與頭皮蓬鬆感體驗,個人護理與美妝,控油洗髮精,comment_id
3002,低粉塵豆腐貓砂開箱試用：除臭力與快速結塊實測報告,寵物用品與食品,低粉塵豆腐貓砂,comment_id
3003,植萃洗碗精溫和不傷手真實體驗：油膩重油鍋具洗淨評測,家庭與清潔用品,植萃洗碗精,comment_id
3004,高純度膠原蛋白飲飲用 30 天膚況彈潤紀錄與風味口感心得,母嬰與保健,高純度膠原蛋白,comment_id
4001,2026 線上保養體驗會：防曬乳液防護力與水感質地解析,個人護理與美妝,防曬乳液,lecture_id
4002,低卡健康飲食線上直播：無糖氣泡水調飲與特調食譜教學,食品與飲料,無糖氣泡水,lecture_id
4003,綠色家居清潔直播研討會：植萃洗碗精無毒安全防護解析,家庭與清潔用品,植萃洗碗精,lecture_id
4004,新手貓奴線上講座：無穀貓糧挑選與換糧常見問題指引,寵物用品與食品,無穀貓糧,lecture_id
edm101,EDM 101: 2026 新品上市！保濕精華液限時體驗組免費領取,個人護理與美妝,保濕精華液,edm
edm102,EDM 102: 夏季箱購特惠！無糖氣泡水整箱免運再享 88 折,食品與飲料,無糖氣泡水,edm
edm103,EDM 103: 狂歡寵物節！低粉塵豆腐貓砂買二送一促銷活動,寵物用品與食品,低粉塵豆腐貓砂,edm
edm104,EDM 104: 保健週年慶！專利益生菌買大送小限時搶購,母嬰與保健,專利益生菌,edm
501,專題 501: 玻尿酸與神經醯胺黃金配比保濕技術解析,個人護理與美妝,保濕精華液,f_subject_no
502,專題 502: 植物萃取界面活性劑去油與溫和配方原理,家庭與清潔用品,植萃洗碗精,f_subject_no
503,專題 503: 專利益生菌三層包埋技術與定殖率實驗,母嬰與保健,專利益生菌,f_subject_no
601,單元 601: 物理性防曬與化學性防曬清爽度成份評比,個人護理與美妝,防曬乳液,subject_no
602,單元 602: 冷萃工藝對咖啡因與咖啡多酚風味保留影響,食品與飲料,冷萃黑咖啡,subject_no
